,Price,Adj Close,Close,High,Low,Open,Volume
2,2022-01-03 00:00:00+00:00,13.356599807739258,13.356599807739258,13.879300117492676,12.80720043182373,13.34570026397705,0
3,2022-01-04 00:00:00+00:00,13.061699867248535,13.061699867248535,13.583000183105469,12.960000038146973,13.0600004196167,0
4,2022-01-05 00:00:00+00:00,13.411499977111816,13.411499977111816,13.633899688720703,13.267339706420898,13.418899536132812,0
5,2022-01-06 00:00:00+00:00,13.687999725341797,13.687999725341797,13.870800018310547,13.465499877929688,13.681400299072266,0
6,2022-01-07 00:00:00+00:00,13.782099723815918,13.782099723815918,13.916299819946289,13.704620361328125,13.803999900817871,0
7,2022-01-10 00:00:00+00:00,13.749349594116211,13.749349594116211,13.925040245056152,13.65149974822998,13.751009941101074,0
8,2022-01-11 00:00:00+00:00,13.809000015258789,13.809000015258789,13.8685302734375,13.700499534606934,13.808899879455566,0
9,2022-01-12 00:00:00+00:00,13.760499954223633,13.760499954223633,13.845890045166016,13.204999923706055,13.763199806213379,0
10,2022-01-13 00:00:00+00:00,13.243399620056152,13.243399620056152,13.657699584960938,13.149200439453125,13.239700317382812,0
11,2022-01-14 00:00:00+00:00,13.5826997756958,13.5826997756958,13.626999855041504,13.44379997253418,13.499360084533691,0
12,2022-01-17 00:00:00+00:00,13.43317985534668,13.43317985534668,13.619099617004395,13.352729797363281,13.43317985534668,0
13,2022-01-18 00:00:00+00:00,13.450599670410156,13.450599670410156,13.642999649047852,13.410420417785645,13.453100204467773,0
14,2022-01-19 00:00:00+00:00,13.527700424194336,13.527700424194336,13.624810218811035,13.339340209960938,13.50547981262207,0
15,2022-01-20 00:00:00+00:00,13.423600196838379,13.423600196838379,13.535400390625,13.255430221557617,13.372759819030762,0
16,2022-01-21 00:00:00+00:00,13.354999542236328,13.354999542236328,13.459699630737305,13.306750297546387,13.365599632263184,0
17,2022-01-24 00:00:00+00:00,13.434650421142578,13.434650421142578,13.538599967956543,13.337920188903809,13.4343900680542,0
